epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,10470.7,0.53859,0.22031,0.00094,0.98082,0.96268,0.98376,0.91348,0.47571,0.19097,0.00117,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,10812.8,0.54031,0.22272,0.00092,0.98436,0.9643,0.98218,0.91271,0.47516,0.18754,0.00117,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,11154.3,0.5342,0.21801,0.0009,0.98861,0.96103,0.98295,0.91427,0.47287,0.18604,0.00116,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,11497.2,0.53763,0.22153,0.00091,0.97759,0.96237,0.98193,0.91399,0.47144,0.1856,0.00116,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,11841,0.53965,0.22871,0.00092,0.98538,0.96504,0.9818,0.91222,0.47248,0.1838,0.00116,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,12184.3,0.53497,0.22194,0.00089,0.98413,0.96128,0.9819,0.914,0.47084,0.18356,0.00115,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,12526.8,0.5284,0.2176,0.00089,0.98094,0.95722,0.97977,0.91367,0.46609,0.18374,0.00114,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,12869.1,0.51718,0.21257,0.00089,0.97882,0.95891,0.97941,0.91499,0.46638,0.1823,0.00114,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,13212.8,0.53285,0.22321,0.00089,0.98424,0.96373,0.98193,0.91886,0.46237,0.1806,0.00113,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,13555.5,0.52037,0.2175,0.00088,0.98463,0.96139,0.98172,0.91558,0.46107,0.17921,0.00113,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,13898.4,0.51518,0.21054,0.00086,0.98745,0.96259,0.98238,0.91462,0.46113,0.17635,0.00113,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,14243.7,0.50608,0.20514,0.00084,0.98655,0.96214,0.98346,0.91808,0.45891,0.17759,0.00112,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,14588.4,0.52684,0.21686,0.00086,0.98616,0.95957,0.98187,0.91501,0.45658,0.17806,0.00112,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,14934.2,0.51852,0.21712,0.00088,0.99332,0.9595,0.98194,0.9176,0.45503,0.17716,0.00111,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,15279.6,0.51684,0.21199,0.00087,0.98905,0.96295,0.98061,0.91746,0.45417,0.17758,0.00111,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,15625.3,0.5129,0.20841,0.00088,0.98676,0.96196,0.98278,0.92069,0.45412,0.17453,0.0011,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,15971.5,0.51875,0.21038,0.00087,0.98562,0.9597,0.98263,0.91988,0.45216,0.17708,0.00109,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,16317.7,0.51578,0.2137,0.00084,0.98587,0.96206,0.98317,0.92026,0.45212,0.1781,0.00109,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,16665.6,0.51188,0.20647,0.00084,0.98152,0.96702,0.98293,0.92035,0.44907,0.177,0.00108,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,17013.1,0.51074,0.20727,0.00086,0.98452,0.96601,0.98368,0.92301,0.44771,0.17446,0.00109,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
