[0. 0.]
[-0.09549866  7.19813995]
[-0.01362915  7.2765007 ]
[0.02420959 7.30386963]
[-0.14286804  7.4069046 ]
[-0.20209961  7.49159622]
[-0.27520447  7.54420319]
[-0.36421509  7.54737167]
[-0.15135193  7.71456528]
[-0.28865051  7.82042847]
[-0.34762878  7.89774933]
[-0.215802    7.96530609]
[-0.1835907   8.01980362]
[-0.23009338  8.1063942 ]
[-3.9642334e-03  8.3126297e+00]
[-0.03258667  8.39008408]
[0.01052856 8.49616318]
[0.0249054  8.58108368]
[-0.03330688  8.67249908]
[0.15839233 8.76529236]
[0.27381592 8.82575378]
[0.22992859 8.856884  ]
[0.22014465 8.86088943]
[0.22396545 8.98587723]
[0.26574402 9.10484161]
[0.27588196 9.22230453]
[0.19759216 9.29781723]
[0.25601807 9.43527451]
[0.26334534 9.52771988]
[0.04700012 9.5730217 ]
[0.23861694 9.59888763]
[0.25013428 9.60355911]
[0.13094482 9.7164978 ]
[0.14090271 9.81736984]
[0.03253784 9.98709183]
[-0.01092529 10.05724182]
[-0.10082092 10.11347809]
[-0.10799866 10.11570511]
[-0.21472778 10.20247116]
[-0.27747498 10.25536118]
[-0.29585876 10.35895844]
[-0.32033386 10.4579277 ]
[-0.28429565 10.51175385]
[-0.36853638 10.58749847]
[-0.38130493 10.64351807]
[-0.57282715 10.62567749]
[-0.56986694 10.74602432]
[-0.52067566 10.85419769]
[-0.48688354 10.91345673]
[-0.42329407 11.01358566]
[-0.50325623 10.98779907]
[-0.46195068 11.06783142]
[-0.59689331 11.1260376 ]
[-0.61437378 11.20935593]
[-0.75722046 11.17403641]
[-0.66335449 11.28827286]
[-0.67365112 11.32075043]
[-0.8614624  11.44830322]
[-0.77531433 11.59879532]
[-0.84784851 11.72064285]
[-0.77984314 11.82365112]
[-0.79153442 11.87066574]
[-0.79216614 11.95812073]
[-0.73998718 12.12135162]
[-0.76636353 12.19001541]
[-0.80531616 12.25085983]
[-0.81127625 12.29555588]
[-0.83092957 12.37392349]
[-0.74924316 12.53712769]
[-0.80830078 12.64039917]
[-0.75592651 12.6381485 ]
[-0.85917358 12.68056946]
[-0.75796204 12.82636871]
[-0.80849304 12.85360565]
[-0.71784058 12.93195801]
[-0.72273254 13.16539841]
[-0.71637573 13.28737564]
[-0.77205505 13.23052597]
[-0.80290527 13.35997391]
[-0.97066956 13.4360527 ]
[-0.95730591 13.57663803]
[-1.03004761 13.65490341]
[-0.94256287 13.73808823]
[-0.91520996 13.89238739]
[-0.85461121 14.04415436]
[-0.85305481 13.96471176]
[-0.78841858 14.01189499]
[-0.76602478 14.12829437]
[-0.77886353 14.3021019 ]
[-0.82574158 14.32130814]
[-0.83634033 14.38278198]
[-0.78571777 14.41444168]
[-0.78172302 14.56147308]
[-0.67233582 14.63716278]
[-0.57465515 14.61002655]
[-0.54038391 14.69649887]
[-0.40806274 14.70149002]
[-0.42486572 14.78066864]
[-0.27857666 14.83985901]
[-0.27578735 14.96104889]
[-0.3953186  15.08197708]
